                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0505,                 19.087,                 3.5998,                0.00054,                0.19244,                0.00151,                0.00045,                 2.4863,                 7.1772,                 2.6866,                0.07075,                0.00325,                0.00325
                      1,                 2.3352,                 5.8363,                 2.8847,                0.00205,                0.31988,                0.01405,                0.00367,                 2.5099,                 4.4986,                 2.8031,                0.04062,               0.006453,               0.006453
                      2,                 2.1523,                 4.5254,                 2.6956,                0.84618,                0.00588,                0.02836,                0.01131,                 2.6507,                 4.7035,                 3.0157,               0.010357,               0.009524,               0.009524
                      3,                 2.0649,                 4.1084,                  2.616,                0.43996,                0.10595,                0.04799,                0.01328,                 2.5375,                 5.1777,                 2.7572,               0.009406,               0.009406,               0.009406
                      4,                  2.006,                 3.9499,                 2.5781,                0.44609,                0.11871,                0.03955,                0.00897,                 2.6253,                 8.7967,                 2.9451,               0.009406,               0.009406,               0.009406
                      5,                 2.0354,                  3.895,                 2.6209,                0.47887,                0.03333,                0.01436,                0.00338,                 2.6697,                 7.7618,                 3.2775,               0.009208,               0.009208,               0.009208
                      6,                 1.9766,                 3.6741,                 2.5494,                0.32862,                0.10098,                0.03644,                0.01107,                 2.6372,                 7.4062,                 3.0974,                0.00901,                0.00901,                0.00901
                      7,                 2.0088,                 3.6389,                 2.5752,                0.75645,                0.11667,                0.08644,                 0.0314,                 2.6687,                 4.5497,                 2.8951,               0.008812,               0.008812,               0.008812
                      8,                 1.9203,                 3.4924,                   2.51,                0.57831,                0.09428,                0.11307,                0.03328,                 2.4914,                 4.7234,                 2.7014,               0.008614,               0.008614,               0.008614
                      9,                 1.9354,                 3.3357,                 2.5182,                 0.2999,                0.32308,                0.12449,                0.03035,                 2.5329,                 4.7583,                 2.7612,               0.008416,               0.008416,               0.008416
                     10,                 1.9002,                 3.3122,                  2.487,                0.70341,                0.13824,                  0.202,                0.06804,                 2.4097,                 4.6214,                 2.6536,               0.008218,               0.008218,               0.008218
                     11,                 1.8338,                 3.1174,                 2.4359,                0.57151,                0.18875,                0.14514,                0.04527,                 2.4416,                 3.9056,                 2.7566,                0.00802,                0.00802,                0.00802
                     12,                 1.7899,                 3.1431,                 2.4045,                0.45222,                0.23217,                0.21051,                0.08475,                 2.5609,                 3.3016,                 2.7915,               0.007822,               0.007822,               0.007822
                     13,                  1.841,                 2.9548,                 2.4416,                0.29901,                0.29372,                0.25016,                0.10125,                 2.3429,                 3.1274,                 2.5725,               0.007624,               0.007624,               0.007624
                     14,                 1.7604,                 2.8099,                 2.3457,                0.56029,                0.25458,                0.31062,                0.11479,                  2.332,                 3.6027,                 2.5518,               0.007426,               0.007426,               0.007426
                     15,                   1.75,                 2.6936,                 2.3497,                0.43307,                0.33542,                0.31429,                0.12337,                 2.2657,                 2.8683,                 2.5401,               0.007228,               0.007228,               0.007228
                     16,                 1.7158,                 2.6579,                 2.3332,                0.50031,                 0.3529,                0.39885,                0.17037,                 2.2647,                 2.7423,                 2.5903,                0.00703,                0.00703,                0.00703
                     17,                  1.705,                 2.7039,                 2.3192,                0.44923,                0.42628,                0.31125,                0.14041,                 2.3499,                 2.9177,                 2.6416,               0.006832,               0.006832,               0.006832
                     18,                 1.6788,                 2.6532,                 2.2804,                0.38948,                0.42538,                 0.3811,                0.14962,                 2.3884,                  2.662,                 2.6018,               0.006634,               0.006634,               0.006634
                     19,                 1.6516,                 2.4248,                 2.2485,                0.35921,                0.42202,                 0.3802,                0.15825,                 2.3038,                 2.5311,                 2.4927,               0.006436,               0.006436,               0.006436
                     20,                 1.6644,                 2.4124,                 2.2481,                0.58719,                0.40523,                0.53271,                0.22972,                 2.3621,                 2.9192,                 2.6291,               0.006238,               0.006238,               0.006238
                     21,                 1.5754,                 2.2675,                 2.1855,                0.48067,                0.38761,                0.42836,                0.19128,                 2.2736,                 2.8405,                 2.4977,                0.00604,                0.00604,                0.00604
                     22,                 1.6029,                 2.2996,                 2.2156,                0.62487,                0.30248,                0.39486,                0.17511,                 2.3874,                 3.5394,                 2.7215,               0.005842,               0.005842,               0.005842
                     23,                 1.5591,                 2.2227,                  2.175,                0.47154,                0.61688,                0.61946,                0.24865,                  2.251,                 2.1946,                 2.5492,               0.005644,               0.005644,               0.005644
