                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2556,                 2.0339,                 1.7692,                0.88051,                0.63019,                0.71591,                 0.4215,                 1.8648,                 1.9492,                 1.9816,               0.006634,               0.006634,               0.006634
                     36,                  1.233,                 2.0261,                 1.7484,                0.89921,                0.61062,                0.74282,                0.43414,                 1.8911,                 1.9777,                  2.033,               0.006535,               0.006535,               0.006535
                     37,                 1.2414,                 2.0385,                 1.7781,                 0.8286,                0.58887,                0.71346,                0.40592,                 2.0044,                 2.1649,                 2.1915,               0.006436,               0.006436,               0.006436
                     38,                 1.2455,                 2.0213,                 1.7461,                0.72015,                0.61437,                0.71434,                0.41728,                 1.8802,                 2.2726,                 2.0739,               0.006337,               0.006337,               0.006337
                     39,                 1.2374,                 1.9807,                 1.7473,                0.86862,                0.69547,                0.78467,                0.43636,                 1.8877,                 1.8271,                   2.04,               0.006238,               0.006238,               0.006238
                     40,                 1.2107,                   1.92,                 1.7204,                0.86169,                0.67595,                0.77425,                0.50385,                 1.7069,                 1.7383,                 1.8683,               0.006139,               0.006139,               0.006139
                     41,                 1.1827,                 1.8505,                 1.6966,                0.87692,                0.64391,                0.74744,                 0.4845,                 1.8549,                 1.8958,                 2.0069,                0.00604,                0.00604,                0.00604
                     42,                 1.1923,                 1.8463,                 1.7004,                 0.7432,                0.59545,                0.68277,                0.44208,                 1.8142,                 2.2138,                  1.994,               0.005941,               0.005941,               0.005941
                     43,                 1.1983,                 1.8859,                 1.6953,                0.82333,                0.63947,                0.74956,                0.48884,                 1.6802,                 1.8578,                 1.8238,               0.005842,               0.005842,               0.005842
                     44,                 1.2157,                 1.8424,                 1.7091,                0.86393,                0.68683,                0.76149,                0.49742,                 1.6707,                 1.7678,                 1.8081,               0.005743,               0.005743,               0.005743
                     45,                 1.1839,                 1.8227,                 1.6971,                0.90387,                0.61548,                0.75407,                0.50268,                 1.7924,                 1.8642,                  1.958,               0.005644,               0.005644,               0.005644
                     46,                 1.1525,                 1.7448,                 1.6506,                0.88321,                0.66025,                0.76968,                0.49172,                 1.7812,                 1.7478,                  1.953,               0.005545,               0.005545,               0.005545
                     47,                  1.128,                 1.7201,                 1.6322,                0.82627,                0.66873,                0.74743,                0.43978,                 1.9614,                 1.8917,                 2.1032,               0.005446,               0.005446,               0.005446
                     48,                 1.1282,                 1.7045,                 1.6375,                0.85094,                0.72232,                0.80927,                 0.5057,                 1.7893,                 1.6321,                 1.9373,               0.005347,               0.005347,               0.005347
                     49,                 1.1273,                 1.6678,                 1.6374,                0.89246,                0.62471,                0.74637,                0.48707,                 1.6538,                 1.8426,                 1.8655,               0.005248,               0.005248,               0.005248
                     50,                 1.1244,                 1.6406,                 1.6153,                0.91075,                0.65828,                0.78271,                0.57016,                  1.409,                 1.7197,                 1.6112,               0.005149,               0.005149,               0.005149
                     51,                 1.1096,                 1.6334,                 1.6192,                0.90189,                0.66354,                0.75544,                0.48779,                 1.6038,                 1.7891,                 1.8137,                0.00505,                0.00505,                0.00505
                     52,                 1.0948,                 1.6015,                 1.6062,                0.90178,                0.71499,                0.80968,                0.50315,                  1.805,                 1.5951,                 1.9723,               0.004951,               0.004951,               0.004951
                     53,                 1.0633,                 1.5687,                 1.5744,                0.91093,                0.68695,                0.77778,                0.50458,                 1.5036,                 1.5753,                 1.6876,               0.004852,               0.004852,               0.004852
                     54,                 1.0987,                 1.5901,                 1.6023,                0.92161,                0.71292,                0.81366,                0.57767,                 1.4604,                 1.5309,                 1.6069,               0.004753,               0.004753,               0.004753
                     55,                 1.0487,                  1.498,                  1.548,                0.86055,                0.71339,                0.80537,                0.55714,                  1.472,                  1.542,                 1.6369,               0.004654,               0.004654,               0.004654
                     56,                 1.0446,                 1.5137,                 1.5551,                0.93135,                0.67029,                 0.8144,                0.53988,                 1.6114,                 1.5117,                 1.7798,               0.004555,               0.004555,               0.004555
                     57,                 1.0349,                 1.4827,                 1.5365,                0.93147,                0.74604,                0.83298,                0.53205,                 1.6167,                 1.4343,                 1.8113,               0.004456,               0.004456,               0.004456
                     58,                  1.045,                 1.4882,                 1.5411,                0.91903,                0.69847,                0.79232,                0.54163,                 1.5398,                 1.7193,                 1.7264,               0.004357,               0.004357,               0.004357
                     59,                 1.0466,                  1.482,                 1.5422,                0.94153,                0.73054,                0.82806,                0.53199,                 1.6681,                  1.494,                 1.8263,               0.004258,               0.004258,               0.004258
                     60,                 1.0278,                 1.4423,                 1.5283,                0.96868,                0.73598,                0.82009,                0.54538,                 1.7434,                 1.4819,                  1.915,               0.004159,               0.004159,               0.004159
                     61,                 1.0303,                 1.4174,                 1.5216,                0.91936,                0.71528,                0.80598,                0.56145,                 1.6383,                  1.574,                 1.8317,                0.00406,                0.00406,                0.00406
                     62,                 1.0227,                 1.3986,                 1.5229,                0.91465,                   0.76,                0.83249,                0.60057,                 1.3111,                 1.3044,                 1.5093,               0.003961,               0.003961,               0.003961
                     63,                0.99212,                 1.3896,                 1.5068,                0.93909,                0.73053,                0.82096,                0.52647,                 1.5599,                  1.502,                 1.7148,               0.003862,               0.003862,               0.003862
                     64,                0.99403,                 1.3737,                 1.4858,                0.92912,                0.75794,                0.83567,                0.56447,                 1.5259,                 1.4745,                 1.6835,               0.003763,               0.003763,               0.003763
                     65,                0.99328,                 1.3317,                 1.4819,                0.92584,                0.73049,                0.83279,                0.57525,                 1.4817,                 1.4234,                  1.651,               0.003664,               0.003664,               0.003664
                     66,                0.98792,                 1.3855,                 1.4897,                0.90331,                0.74884,                0.83679,                 0.5739,                 1.5165,                 1.4457,                 1.6921,               0.003565,               0.003565,               0.003565
                     67,                0.97631,                 1.3182,                 1.4764,                0.90227,                0.78415,                0.85354,                0.57018,                 1.6191,                 1.2946,                 1.7695,               0.003466,               0.003466,               0.003466
                     68,                0.96887,                 1.3054,                 1.4676,                0.96074,                0.73522,                0.83692,                0.60234,                 1.3231,                 1.4096,                 1.5192,               0.003367,               0.003367,               0.003367
                     69,                0.96205,                 1.3039,                 1.4645,                0.93362,                0.72046,                 0.8267,                0.59781,                 1.3495,                 1.3884,                 1.5242,               0.003268,               0.003268,               0.003268
                     70,                0.95044,                 1.3054,                 1.4487,                0.93318,                0.74428,                0.83546,                0.60659,                 1.4103,                 1.3466,                 1.5823,               0.003169,               0.003169,               0.003169
                     71,                0.95062,                 1.2769,                 1.4574,                0.90743,                0.77546,                0.83304,                0.62077,                 1.2678,                 1.4377,                  1.471,                0.00307,                0.00307,                0.00307
                     72,                0.97515,                 1.2788,                 1.4496,                0.93988,                0.73724,                0.84417,                0.61957,                 1.4093,                 1.3163,                 1.5931,               0.002971,               0.002971,               0.002971
