                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3308,                 1.6305,                 2.0236,                0.79023,                0.67356,                0.77431,                0.36669,                 1.9428,                  1.785,                 2.3494,               0.003268,               0.003268,               0.003268
                     36,                 1.3441,                 1.5389,                 1.9933,                0.75548,                0.69913,                0.82029,                0.41897,                 1.8599,                 1.8751,                 2.3109,                0.00307,                0.00307,                0.00307
                     37,                 1.3476,                  1.512,                 2.0017,                0.78551,                0.66039,                0.83407,                0.44913,                 1.8172,                 1.6158,                 2.2268,               0.002872,               0.002872,               0.002872
                     38,                 1.2827,                 1.5126,                 1.9783,                0.63207,                0.75643,                0.82264,                0.44107,                 1.8522,                 1.6822,                 2.2601,               0.002674,               0.002674,               0.002674
                     39,                 1.3016,                 1.4611,                 1.9918,                0.73429,                0.77029,                0.83815,                0.45824,                 1.8155,                  1.708,                   2.29,               0.002476,               0.002476,               0.002476
                     40,                 1.2702,                 1.4359,                 1.9458,                0.86895,                0.73476,                 0.8969,                0.48409,                  1.793,                 1.5565,                 2.2399,               0.002278,               0.002278,               0.002278
                     41,                 1.2016,                 1.3412,                 1.8835,                0.76536,                0.85467,                0.88699,                0.47922,                 1.7902,                 1.6083,                 2.2045,                0.00208,                0.00208,                0.00208
                     42,                 1.2364,                 1.3555,                 1.9261,                0.88965,                0.78798,                0.90271,                0.47802,                 1.7301,                 1.5129,                 2.1407,               0.001882,               0.001882,               0.001882
                     43,                 1.1823,                  1.303,                 1.8943,                0.86311,                0.80997,                0.91416,                0.50048,                 1.7266,                 1.4194,                 2.1298,               0.001684,               0.001684,               0.001684
                     44,                 1.2106,                 1.2437,                 1.8911,                0.82622,                0.82804,                0.89412,                0.50154,                 1.6567,                 1.5598,                 2.0596,               0.001486,               0.001486,               0.001486
                     45,                 1.1884,                 1.2594,                 1.8763,                0.76104,                0.81019,                0.87178,                0.49326,                 1.6568,                 1.5776,                 2.0682,               0.001288,               0.001288,               0.001288
                     46,                 1.1462,                  1.193,                 1.8214,                0.82747,                 0.8083,                0.89416,                0.52954,                 1.6255,                 1.5048,                 2.0417,                0.00109,                0.00109,                0.00109
                     47,                 1.1759,                 1.1591,                 1.8527,                0.86397,                0.79224,                0.91014,                0.53006,                 1.5581,                 1.4416,                 1.9829,               0.000892,               0.000892,               0.000892
                     48,                 1.1443,                 1.2083,                 1.8326,                0.90895,                0.78936,                0.90076,                 0.5067,                 1.5877,                 1.4471,                 2.0149,               0.000694,               0.000694,               0.000694
                     49,                 1.1313,                 1.1725,                 1.8127,                0.88734,                0.79808,                0.90945,                0.48544,                  1.673,                  1.469,                 2.0983,               0.000496,               0.000496,               0.000496
