                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.59898,                0.57469,                 1.1044,                0.96729,                0.85633,                0.91174,                0.75237,                0.81619,                 0.6371,                 1.0753,               0.006634,               0.006634,               0.006634
                     36,                 0.5897,                  0.558,                 1.0944,                0.96952,                0.85721,                0.91282,                0.74216,                0.85777,                0.64571,                 1.1063,               0.006535,               0.006535,               0.006535
                     37,                0.58471,                0.54856,                 1.0889,                0.97016,                0.85492,                0.91607,                0.76937,                0.75088,                0.60497,                 1.0439,               0.006436,               0.006436,               0.006436
                     38,                0.58163,                0.55045,                 1.0897,                0.97749,                0.85627,                0.91296,                0.77077,                0.72194,                0.60331,                 1.0354,               0.006337,               0.006337,               0.006337
                     39,                0.58106,                0.54417,                  1.086,                0.97761,                0.86602,                0.92009,                0.77633,                0.76318,                0.59647,                 1.0344,               0.006238,               0.006238,               0.006238
                     40,                0.56874,                0.53725,                 1.0815,                0.98162,                0.85101,                0.91496,                0.77759,                0.74146,                0.60379,                 1.0233,               0.006139,               0.006139,               0.006139
                     41,                0.56302,                0.52598,                 1.0754,                0.96434,                0.87756,                0.92183,                0.77878,                0.75473,                0.58447,                 1.0397,                0.00604,                0.00604,                0.00604
                     42,                0.56428,                0.52432,                 1.0727,                0.97601,                0.85786,                 0.9193,                0.77361,                0.72865,                0.57863,                 1.0245,               0.005941,               0.005941,               0.005941
                     43,                0.55712,                0.51446,                 1.0669,                0.97374,                0.85996,                0.92137,                0.78489,                0.70706,                0.56559,                 1.0117,               0.005842,               0.005842,               0.005842
                     44,                 0.5546,                0.51555,                 1.0674,                0.97119,                0.87045,                0.91959,                0.80378,                 0.6549,                 0.5619,                0.99342,               0.005743,               0.005743,               0.005743
                     45,                0.54633,                0.50466,                 1.0633,                0.97344,                0.86951,                0.92274,                0.78992,                 0.6875,                 0.5546,                0.99929,               0.005644,               0.005644,               0.005644
                     46,                0.54373,                0.49947,                 1.0583,                0.97746,                0.86479,                0.92303,                0.78284,                  0.701,                0.56163,                 1.0128,               0.005545,               0.005545,               0.005545
                     47,                0.54221,                 0.4872,                 1.0562,                0.97556,                0.87794,                0.92522,                 0.7975,                0.66864,                0.53043,                0.98634,               0.005446,               0.005446,               0.005446
                     48,                0.53564,                0.48712,                 1.0529,                0.97796,                0.86955,                0.92416,                0.80543,                0.66326,                0.53917,                0.98265,               0.005347,               0.005347,               0.005347
                     49,                0.53186,                0.47979,                 1.0502,                0.97263,                0.86669,                 0.9237,                0.80198,                0.65291,                0.52754,                0.98557,               0.005248,               0.005248,               0.005248
                     50,                0.52368,                0.47378,                  1.044,                0.98336,                 0.8704,                0.92665,                0.79817,                0.66847,                0.52448,                 0.9868,               0.005149,               0.005149,               0.005149
                     51,                0.52394,                0.47234,                 1.0452,                0.97939,                0.87037,                0.92703,                0.80483,                  0.649,                0.52693,                0.97711,                0.00505,                0.00505,                0.00505
                     52,                0.52021,                0.47055,                 1.0432,                0.98244,                 0.8735,                0.92936,                0.81264,                0.63772,                0.50805,                0.97296,               0.004951,               0.004951,               0.004951
                     53,                0.51399,                 0.4641,                 1.0389,                0.98064,                0.87511,                 0.9315,                0.81594,                0.63093,                0.51001,                0.97152,               0.004852,               0.004852,               0.004852
                     54,                0.50958,                0.45699,                 1.0355,                0.97978,                0.87877,                0.93184,                0.81702,                0.61464,                0.50975,                0.96752,               0.004753,               0.004753,               0.004753
                     55,                0.50787,                0.45014,                 1.0304,                0.97083,                0.88594,                 0.9322,                0.81882,                0.62271,                0.50171,                0.96786,               0.004654,               0.004654,               0.004654
                     56,                0.49955,                0.44151,                 1.0255,                0.98086,                0.88837,                0.93254,                0.82268,                0.62834,                0.48633,                0.96535,               0.004555,               0.004555,               0.004555
                     57,                 0.5037,                0.44619,                 1.0302,                0.98077,                0.88399,                0.93333,                0.81082,                0.64034,                0.48983,                0.97594,               0.004456,               0.004456,               0.004456
                     58,                0.49201,                0.43783,                 1.0216,                0.98064,                0.88301,                 0.9337,                0.82173,                0.60212,                0.48412,                0.95971,               0.004357,               0.004357,               0.004357
                     59,                0.49369,                0.43384,                 1.0222,                0.98181,                0.88442,                0.93514,                0.81578,                0.64321,                0.48413,                0.96952,               0.004258,               0.004258,               0.004258
                     60,                 0.4884,                  0.428,                 1.0162,                0.97938,                0.88571,                0.93531,                0.82373,                0.59659,                0.47986,                0.95009,               0.004159,               0.004159,               0.004159
                     61,                0.48341,                0.42015,                 1.0148,                 0.9788,                0.88623,                0.93795,                 0.8305,                0.60014,                0.46955,                0.94726,                0.00406,                0.00406,                0.00406
                     62,                0.47836,                0.41222,                 1.0123,                0.97697,                0.88856,                0.93751,                 0.8283,                0.60966,                0.47563,                0.95193,               0.003961,               0.003961,               0.003961
                     63,                0.47617,                 0.4139,                 1.0094,                0.98048,                0.88682,                0.93553,                0.83157,                0.57567,                0.46382,                0.93607,               0.003862,               0.003862,               0.003862
                     64,                0.47071,                0.41119,                 1.0082,                0.97036,                0.89168,                0.93491,                0.82512,                0.62043,                0.47416,                0.95404,               0.003763,               0.003763,               0.003763
                     65,                0.46883,                0.40591,                 1.0036,                0.97351,                0.89434,                0.93768,                 0.8378,                0.56944,                0.45245,                0.93312,               0.003664,               0.003664,               0.003664
                     66,                0.46563,                0.39853,                 1.0017,                0.97676,                 0.8939,                0.93829,                0.84051,                0.56035,                0.45986,                0.93246,               0.003565,               0.003565,               0.003565
                     67,                  0.462,                0.39218,                 1.0001,                0.98099,                0.88981,                0.93662,                0.83596,                 0.5748,                0.46007,                0.93751,               0.003466,               0.003466,               0.003466
                     68,                 0.4622,                0.39384,                0.99818,                0.98393,                0.88808,                0.93787,                 0.8393,                0.57237,                0.45108,                0.93397,               0.003367,               0.003367,               0.003367
                     69,                 0.4544,                0.38454,                0.99519,                0.97234,                0.89743,                0.93889,                0.84553,                0.55606,                0.44221,                0.92747,               0.003268,               0.003268,               0.003268
                     70,                0.45254,                0.38211,                0.99413,                 0.9803,                0.89013,                0.94036,                0.84333,                0.56589,                0.44236,                0.93074,               0.003169,               0.003169,               0.003169
                     71,                0.44735,                0.38003,                0.98796,                0.96966,                0.89894,                0.94004,                0.84336,                0.56528,                0.44573,                0.92838,                0.00307,                0.00307,                0.00307
                     72,                0.44544,                0.37478,                0.98859,                0.97553,                0.89555,                 0.9406,                0.84578,                0.56595,                 0.4419,                0.92782,               0.002971,               0.002971,               0.002971
