min_lon,min_lat,max_lon,max_lat
-81.91666666666667,24.754166666666666,-81.3375,24.541666666666668
-83.0375,30.295833333333334,-82.8,30.058333333333334
-79.99583333333334,29.133333333333333,-79.78333333333333,28.583333333333332
-80.5,27.85,-80.1625,27.020833333333332
-80.34166666666667,26.879166666666666,-80.07916666666667,26.045833333333334
-78.94166666666666,26.766666666666666,-78.075,26.5125
-80.01666666666667,30.6875,-79.7625,30.304166666666667
-82.80833333333334,28.4,-82.39583333333333,27.620833333333334
-81.79583333333333,28.5,-81.11666666666667,27.27916666666667
-82.33333333333333,27.108333333333334,-81.80416666666667,26.3625
-80.85416666666667,28.5,-80.5,27.8875
-80.8375,27.1875,-80.5,26.891666666666666
-82.07083333333333,28.90833333333333,-81.25,28.5
-82.53333333333333,29.045833333333334,-82.075,28.5
-83.0,30.104166666666668,-82.29583333333333,29.316666666666666
-81.8625,30.45,-81.4,29.96666666666667
-82.15,30.058333333333334,-81.8625,29.604166666666668
-81.6625,30.0,-81.44583333333334,29.616666666666667
-81.175,29.3875,-80.86666666666667,28.941666666666666
-84.64583333333333,26.733333333333334,-83.825,26.0
-85.5,28.054166666666667,-84.94583333333334,27.320833333333333
-83.54166666666667,31.0,-83.0,30.166666666666664
-85.5,31.0,-84.87083333333334,30.429166666666667
-84.82916666666667,31.0,-84.10416666666667,30.6
-85.425,29.9375,-85.1125,29.608333333333334
-83.725,30.15,-83.49166666666666,29.804166666666667
-86.33333333333333,28.5,-85.5,28.133333333333333
-87.43333333333334,31.0,-86.925,30.445833333333333
-86.9,30.72083333333333,-86.3625,30.5
-88.0,30.645833333333332,-87.45833333333333,30.3125
-86.2125,31.0,-85.45833333333333,29.979166666666664
-81.91666666666667,29.3875,-81.69583333333333,28.858333333333334
-77.83333333333333,26.879166666666666,-77.0,26.145833333333332
-80.75,25.7625,-80.3125,25.0
-78.45416666666667,25.183333333333334,-77.725,24.308333333333334
-81.4,25.9125,-81.01666666666667,25.245833333333334
-77.95,25.825,-77.72083333333333,25.554166666666667
-77.54583333333333,25.179166666666667,-77.0,24.858333333333334
-79.35,25.8125,-79.1,24.995833333333334
