                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.61728,                0.44258,                 1.0152,                0.92759,                 0.7268,                0.82977,                0.59083,                 1.0005,                0.86299,                 1.1522,               0.008878,               0.008878,               0.008878
                     36,                0.60793,                0.43621,                 1.0087,                0.85496,                0.75009,                0.81915,                0.61607,                0.94494,                0.76031,                 1.1131,               0.008845,               0.008845,               0.008845
                     37,                 0.6027,                0.42029,                 1.0021,                0.90242,                0.74987,                0.84235,                0.61125,                0.95301,                0.78911,                 1.1111,               0.008812,               0.008812,               0.008812
                     38,                 0.5896,                0.41091,                0.99561,                0.88348,                0.76458,                0.83829,                0.65725,                0.77136,                0.74956,                 1.0232,               0.008779,               0.008779,               0.008779
                     39,                0.58176,                0.41004,                0.99452,                0.90983,                0.76323,                 0.8507,                0.61515,                0.99173,                0.82664,                 1.1294,               0.008746,               0.008746,               0.008746
                     40,                0.56191,                0.38229,                0.97899,                0.90065,                0.74051,                0.82691,                 0.6258,                0.88219,                0.77509,                 1.0724,               0.008713,               0.008713,               0.008713
                     41,                0.56532,                0.38738,                 0.9774,                0.87172,                0.75504,                0.83578,                0.63008,                0.86699,                0.77513,                 1.0717,                0.00868,                0.00868,                0.00868
                     42,                0.55638,                0.39118,                0.97372,                0.90974,                0.72811,                0.83853,                0.63386,                0.84938,                0.75793,                 1.0727,               0.008647,               0.008647,               0.008647
                     43,                 0.5438,                0.39008,                0.96923,                0.90636,                 0.7525,                 0.8544,                0.64468,                0.93241,                0.77626,                 1.0899,               0.008614,               0.008614,               0.008614
                     44,                0.53607,                0.37457,                0.96343,                0.87046,                0.80232,                0.84806,                0.65796,                0.95416,                0.78015,                 1.1024,               0.008581,               0.008581,               0.008581
                     45,                0.53337,                0.36403,                0.95869,                0.93953,                0.75542,                0.85515,                0.69832,                0.74662,                0.70786,                 1.0097,               0.008548,               0.008548,               0.008548
                     46,                 0.5417,                0.36939,                0.96325,                0.93182,                0.77163,                0.84706,                0.63187,                0.89091,                0.76352,                  1.085,               0.008515,               0.008515,               0.008515
                     47,                0.52961,                0.36609,                0.95894,                0.91989,                0.76185,                0.85341,                0.63921,                0.91268,                0.84642,                 1.0914,               0.008482,               0.008482,               0.008482
                     48,                0.52076,                0.35606,                0.95472,                0.92383,                0.75101,                0.83221,                0.63555,                 0.9278,                0.81321,                 1.0986,               0.008449,               0.008449,               0.008449
                     49,                0.50207,                0.34976,                0.94152,                0.83263,                 0.7926,                0.85424,                0.65239,                0.89697,                0.78131,                 1.0673,               0.008416,               0.008416,               0.008416
                     50,                0.50988,                0.34408,                0.94971,                0.88071,                0.78394,                0.85196,                0.68379,                0.79926,                0.75693,                 1.0337,               0.008383,               0.008383,               0.008383
                     51,                0.49513,                0.33877,                0.93872,                0.94831,                0.78178,                 0.8536,                0.64595,                0.87746,                0.73668,                 1.0693,                0.00835,                0.00835,                0.00835
                     52,                0.48829,                0.33532,                0.93584,                0.92279,                0.75943,                0.84544,                0.68021,                0.75173,                0.76997,                 1.0133,               0.008317,               0.008317,               0.008317
                     53,                0.48379,                0.32407,                0.93222,                0.94552,                0.77676,                0.86469,                0.71744,                0.66388,                0.68583,                0.98011,               0.008284,               0.008284,               0.008284
                     54,                0.48539,                0.32876,                0.93193,                0.92257,                0.76364,                0.83612,                0.66776,                0.73259,                0.72246,                 1.0138,               0.008251,               0.008251,               0.008251
