                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4547,                 2.2397,                 1.8228,                0.72501,                0.53831,                0.62293,                0.30961,                 2.1958,                 2.3186,                  2.233,               0.006733,               0.006733,               0.006733
                     35,                 1.4135,                 2.1732,                 1.7872,                0.79709,                0.52309,                  0.637,                0.31249,                 2.2081,                 2.2511,                 2.2474,               0.006634,               0.006634,               0.006634
                     36,                 1.3901,                 2.1583,                 1.7735,                0.86925,                0.52021,                0.64186,                0.35453,                   2.06,                 2.2218,                  2.111,               0.006535,               0.006535,               0.006535
                     37,                 1.3907,                 2.1452,                 1.7754,                0.80826,                0.53082,                0.64858,                0.34532,                  2.096,                 2.2334,                 2.1407,               0.006436,               0.006436,               0.006436
                     38,                 1.3935,                 2.0934,                 1.7647,                0.80936,                0.56732,                0.66525,                0.34779,                 2.1685,                 2.1752,                 2.2063,               0.006337,               0.006337,               0.006337
                     39,                 1.3652,                 2.0703,                 1.7459,                0.83155,                0.52945,                0.65553,                0.31952,                 2.2284,                 2.2983,                 2.2822,               0.006238,               0.006238,               0.006238
                     40,                 1.3611,                 2.0368,                 1.7394,                0.83278,                0.55498,                0.65811,                0.33742,                 2.1238,                 2.1853,                 2.1763,               0.006139,               0.006139,               0.006139
                     41,                 1.3477,                 2.0316,                 1.7299,                0.83075,                0.59977,                0.67878,                0.37975,                  1.982,                 2.0446,                 2.0547,                0.00604,                0.00604,                0.00604
                     42,                 1.3421,                 2.0197,                 1.7258,                0.82198,                0.60727,                0.68143,                0.38404,                 1.9941,                 2.0591,                 2.0605,               0.005941,               0.005941,               0.005941
                     43,                 1.3249,                 1.9634,                 1.7002,                0.79868,                 0.5828,                0.67771,                0.38261,                 2.0526,                 2.0985,                 2.1147,               0.005842,               0.005842,               0.005842
                     44,                 1.3312,                 1.9382,                 1.7046,                0.84841,                0.61911,                0.69808,                0.38238,                 2.0187,                 1.9647,                 2.0611,               0.005743,               0.005743,               0.005743
                     45,                 1.2992,                 1.9071,                 1.6854,                0.83446,                0.59979,                0.69479,                0.41025,                 1.9076,                  2.068,                  1.972,               0.005644,               0.005644,               0.005644
                     46,                  1.294,                 1.8848,                 1.6821,                0.81486,                  0.605,                0.69277,                0.39398,                 1.9538,                 2.0056,                 2.0225,               0.005545,               0.005545,               0.005545
                     47,                 1.2819,                 1.8716,                 1.6797,                0.81427,                0.59586,                 0.6661,                0.36897,                 2.0654,                 2.1054,                 2.1164,               0.005446,               0.005446,               0.005446
                     48,                 1.2793,                 1.8561,                 1.6642,                0.86609,                0.61259,                0.70707,                0.40768,                 1.8704,                 1.9166,                 1.9378,               0.005347,               0.005347,               0.005347
                     49,                 1.2532,                 1.8246,                 1.6444,                0.88098,                0.60993,                0.70042,                0.38962,                 1.9523,                 1.9816,                 2.0074,               0.005248,               0.005248,               0.005248
                     50,                 1.2611,                 1.8212,                 1.6442,                0.82003,                0.60645,                0.70472,                0.43427,                 1.8163,                 2.0409,                 1.8923,               0.005149,               0.005149,               0.005149
                     51,                 1.2383,                  1.777,                  1.629,                0.84241,                0.61466,                0.69715,                0.39539,                 1.9073,                 1.9321,                 1.9766,                0.00505,                0.00505,                0.00505
                     52,                 1.2332,                 1.7763,                 1.6365,                0.86841,                0.62611,                0.72279,                0.42646,                 1.8115,                 1.8156,                 1.8728,               0.004951,               0.004951,               0.004951
                     53,                 1.2297,                 1.7742,                 1.6189,                0.88781,                0.62355,                0.72083,                0.44107,                  1.761,                 1.8451,                 1.8332,               0.004852,               0.004852,               0.004852
                     54,                 1.2155,                 1.7445,                 1.6203,                0.85851,                0.62015,                0.70755,                 0.4341,                 1.7861,                 1.8515,                 1.8643,               0.004753,               0.004753,               0.004753
                     55,                 1.2043,                 1.7119,                 1.5974,                0.87794,                0.62445,                0.70595,                0.42784,                 1.8275,                 1.9039,                  1.882,               0.004654,               0.004654,               0.004654
                     56,                 1.2018,                 1.6947,                 1.6012,                0.86691,                0.62354,                0.72256,                0.42768,                  1.877,                 1.8952,                 1.9509,               0.004555,               0.004555,               0.004555
                     57,                 1.1985,                 1.6815,                 1.5918,                0.87977,                0.63793,                0.71984,                0.41126,                 1.8384,                 1.8353,                 1.9241,               0.004456,               0.004456,               0.004456
                     58,                 1.1882,                 1.6711,                  1.589,                0.85122,                0.63246,                0.71407,                 0.4529,                 1.7666,                 1.8739,                  1.842,               0.004357,               0.004357,               0.004357
                     59,                 1.1812,                 1.6504,                  1.577,                0.89679,                0.63756,                0.73481,                0.46665,                 1.6983,                 1.7574,                 1.7715,               0.004258,               0.004258,               0.004258
