                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4782,                 3.5495,                 1.8801,                0.10434,                0.12847,                0.04639,                0.02048,                 1.6332,                 3.7748,                 1.9202,               0.006634,               0.006634,               0.006634
                     36,                 1.4678,                 3.5209,                 1.8746,                0.56188,                0.06066,                0.07432,                0.03362,                   1.68,                 3.5747,                  1.944,               0.006535,               0.006535,               0.006535
                     37,                 1.4802,                 3.4545,                  1.883,                0.55228,                0.07458,                0.10303,                0.04814,                 1.6072,                 3.4827,                 1.8471,               0.006436,               0.006436,               0.006436
                     38,                 1.4756,                 3.4936,                 1.8677,                 0.6612,                0.06919,                0.10719,                0.04516,                 1.6167,                 3.5011,                  1.871,               0.006337,               0.006337,               0.006337
                     39,                 1.4727,                 3.4367,                 1.8611,                0.58056,                0.09608,                0.11515,                0.05927,                 1.5179,                 3.4552,                 1.7996,               0.006238,               0.006238,               0.006238
                     40,                 1.4624,                 3.3338,                 1.8573,                0.53505,                0.11869,                0.14073,                0.07238,                 1.6009,                 3.3108,                 1.8206,               0.006139,               0.006139,               0.006139
                     41,                 1.4558,                 3.3056,                 1.8525,                0.54898,                0.14474,                0.17066,                0.08694,                 1.6173,                 3.2549,                 1.8384,                0.00604,                0.00604,                0.00604
                     42,                 1.4345,                 3.2393,                 1.8278,                0.52143,                0.15263,                0.16483,                0.07804,                 1.7027,                  3.226,                 1.9006,               0.005941,               0.005941,               0.005941
                     43,                 1.4231,                 3.1999,                 1.8189,                0.52725,                0.18614,                0.19149,                0.09181,                 1.7181,                 3.1071,                 1.9038,               0.005842,               0.005842,               0.005842
                     44,                 1.4339,                 3.1395,                 1.8138,                0.56095,                   0.19,                0.20498,                0.10248,                 1.6977,                 3.1143,                 1.9046,               0.005743,               0.005743,               0.005743
                     45,                  1.433,                  3.114,                  1.828,                0.56143,                0.19302,                0.23619,                0.11646,                 1.7202,                 3.0769,                 1.9161,               0.005644,               0.005644,               0.005644
                     46,                 1.4156,                  3.003,                  1.801,                0.57006,                0.21292,                0.23011,                0.12422,                  1.615,                 3.0605,                 1.8273,               0.005545,               0.005545,               0.005545
                     47,                  1.392,                 2.9764,                  1.782,                0.58521,                0.21848,                0.24474,                 0.1302,                 1.6222,                 3.0096,                 1.8192,               0.005446,               0.005446,               0.005446
                     48,                 1.4147,                 2.9524,                 1.8031,                0.53991,                0.22816,                0.25183,                0.14661,                  1.506,                 2.9767,                 1.7359,               0.005347,               0.005347,               0.005347
                     49,                 1.3875,                 2.8838,                 1.7734,                0.55302,                0.25907,                0.28514,                0.15522,                 1.6082,                 2.7991,                 1.7787,               0.005248,               0.005248,               0.005248
                     50,                 1.3734,                 2.8328,                 1.7681,                 0.6112,                0.24236,                0.29813,                0.16631,                 1.5863,                 2.7494,                 1.7752,               0.005149,               0.005149,               0.005149
                     51,                 1.3787,                 2.7942,                  1.764,                0.58606,                0.24429,                0.30254,                0.16035,                 1.5898,                  2.717,                 1.7713,                0.00505,                0.00505,                0.00505
                     52,                  1.369,                  2.687,                 1.7476,                0.54299,                0.24932,                 0.3105,                0.15389,                 1.6407,                 2.7746,                 1.7998,               0.004951,               0.004951,               0.004951
                     53,                 1.3662,                 2.6839,                 1.7393,                 0.4447,                0.29272,                 0.3067,                 0.1821,                 1.5291,                 2.7251,                 1.7136,               0.004852,               0.004852,               0.004852
                     54,                   1.35,                 2.6373,                 1.7218,                0.48458,                0.30777,                0.33615,                 0.1966,                 1.5903,                 2.6309,                 1.7618,               0.004753,               0.004753,               0.004753
                     55,                 1.3232,                 2.5731,                 1.6941,                0.55642,                0.30594,                0.34145,                0.20124,                  1.592,                 2.5816,                 1.7448,               0.004654,               0.004654,               0.004654
                     56,                 1.3124,                  2.558,                 1.6913,                0.57683,                0.31897,                0.37041,                0.20105,                 1.6396,                 2.4965,                 1.7698,               0.004555,               0.004555,               0.004555
                     57,                 1.3011,                 2.4725,                 1.6845,                0.57692,                 0.3155,                0.35649,                0.20346,                 1.5741,                 2.5705,                 1.7373,               0.004456,               0.004456,               0.004456
                     58,                 1.3256,                 2.4814,                 1.7048,                0.59998,                0.33317,                0.38684,                0.22049,                 1.5611,                 2.5311,                 1.7245,               0.004357,               0.004357,               0.004357
