                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.699,                 11.552,                 3.2569,                0.00184,                0.35525,                 0.0089,                0.00232,                 2.3942,                 4.2859,                 2.5386,               0.070286,              0.0033016,              0.0033016
                      1,                 2.0353,                 4.3892,                 2.6061,                0.61015,                 0.0841,                 0.0752,                0.02872,                  2.276,                  3.412,                 2.3958,                0.04022,              0.0065692,              0.0065692
                      2,                 1.9148,                 3.5702,                 2.4974,                0.31412,                0.16387,                0.08077,                0.02947,                 2.2031,                 6.3244,                 2.3722,               0.010088,              0.0097709,              0.0097709
                      3,                 1.8553,                 3.3519,                 2.4345,                0.44632,                 0.1473,                0.06994,                0.02487,                 2.2279,                 7.5333,                 2.5326,               0.009703,               0.009703,               0.009703
                      4,                 1.7667,                 2.9417,                 2.3936,                0.37128,                0.27116,                0.23439,                0.09378,                 2.1663,                 3.3771,                 2.4954,               0.009703,               0.009703,               0.009703
                      5,                 1.6964,                 2.6419,                 2.3366,                0.37415,                0.37155,                0.35874,                0.11967,                 2.2943,                 3.3651,                 2.5399,               0.009604,               0.009604,               0.009604
                      6,                 1.6584,                 2.4181,                 2.2598,                0.52557,                0.49224,                0.52403,                0.22682,                 2.0191,                 2.2565,                 2.2639,               0.009505,               0.009505,               0.009505
                      7,                 1.6174,                 2.2372,                 2.2483,                0.53659,                0.44656,                0.52058,                0.22843,                 2.0229,                 2.6168,                 2.2665,               0.009406,               0.009406,               0.009406
                      8,                 1.5678,                 2.0733,                 2.2012,                0.72425,                0.26271,                0.36463,                 0.1439,                 2.0619,                 2.7892,                 2.3252,               0.009307,               0.009307,               0.009307
                      9,                 1.5345,                 1.9771,                  2.147,                0.69099,                0.54723,                0.62057,                0.31376,                 1.9277,                 2.0541,                 2.1285,               0.009208,               0.009208,               0.009208
                     10,                 1.4733,                 1.8737,                 2.0935,                0.73251,                0.63036,                0.71657,                0.37262,                  1.786,                 1.8171,                 2.0436,               0.009109,               0.009109,               0.009109
                     11,                 1.4303,                 1.7214,                 2.0641,                0.74022,                0.58871,                0.69474,                0.34592,                 1.7635,                 1.9724,                 1.9984,                0.00901,                0.00901,                0.00901
                     12,                 1.3883,                 1.5951,                 1.9974,                 0.7584,                0.66201,                0.71037,                0.36512,                 1.7689,                 1.9315,                 2.0063,               0.008911,               0.008911,               0.008911
                     13,                 1.3397,                 1.5352,                 1.9635,                0.80982,                0.68996,                0.79245,                0.44902,                 1.5279,                 1.5145,                 1.7465,               0.008812,               0.008812,               0.008812
                     14,                 1.3287,                 1.4478,                 1.9472,                0.75608,                0.64096,                  0.759,                0.38695,                 1.5733,                 2.2137,                 1.7976,               0.008713,               0.008713,               0.008713
                     15,                 1.2678,                  1.326,                 1.8922,                0.84269,                0.74265,                0.82762,                0.47544,                 1.5246,                 1.6635,                 1.7581,               0.008614,               0.008614,               0.008614
                     16,                 1.2939,                 1.3542,                 1.8974,                0.88009,                0.69821,                 0.8522,                0.47125,                  1.495,                 1.4803,                 1.7135,               0.008515,               0.008515,               0.008515
                     17,                 1.2489,                 1.2806,                 1.8609,                0.76057,                0.76047,                0.82665,                0.49238,                 1.3379,                 1.3827,                 1.5672,               0.008416,               0.008416,               0.008416
                     18,                 1.2351,                 1.2409,                 1.8404,                0.75949,                0.64305,                0.74225,                0.44494,                 1.4151,                 1.6192,                 1.6501,               0.008317,               0.008317,               0.008317
                     19,                 1.1973,                 1.1541,                 1.8176,                 0.8449,                0.77407,                 0.8803,                0.47801,                 1.5769,                 1.3583,                 1.7876,               0.008218,               0.008218,               0.008218
                     20,                 1.1645,                 1.0911,                 1.7713,                0.86188,                  0.722,                0.86043,                0.52991,                 1.3669,                 1.4088,                 1.6126,               0.008119,               0.008119,               0.008119
                     21,                 1.1797,                 1.0547,                  1.795,                0.93108,                 0.7934,                0.90456,                0.51931,                 1.4744,                 1.0283,                 1.6996,                0.00802,                0.00802,                0.00802
                     22,                 1.1345,                 1.0097,                 1.7485,                0.90578,                0.76338,                0.90135,                0.55462,                 1.4078,                 1.1166,                 1.6153,               0.007921,               0.007921,               0.007921
                     23,                 1.0968,                0.99778,                 1.7158,                 0.8896,                0.77632,                 0.8822,                0.52689,                   1.43,                   1.07,                 1.6923,               0.007822,               0.007822,               0.007822
                     24,                 1.0947,                0.96582,                 1.6982,                0.80409,                0.80632,                 0.8661,                0.57638,                 1.3301,                 1.1186,                 1.5493,               0.007723,               0.007723,               0.007723
                     25,                 1.0818,                 0.9676,                 1.6921,                0.93336,                0.71776,                0.89399,                 0.5827,                 1.3736,                0.99317,                 1.6031,               0.007624,               0.007624,               0.007624
                     26,                 1.0435,                0.91958,                  1.664,                0.85754,                  0.811,                0.92479,                0.59338,                 1.2598,                 1.2701,                 1.4936,               0.007525,               0.007525,               0.007525
                     27,                 1.0455,                0.88389,                 1.6623,                0.95134,                0.82282,                0.92213,                0.59378,                   1.24,                0.89773,                 1.5262,               0.007426,               0.007426,               0.007426
                     28,                 1.0288,                0.85865,                  1.637,                0.83476,                0.89094,                0.92684,                0.64474,                 1.1819,                0.97135,                  1.411,               0.007327,               0.007327,               0.007327
                     29,                 1.0265,                0.85291,                 1.6299,                0.84409,                0.85139,                0.91343,                0.63647,                 1.1871,                0.94951,                 1.4198,               0.007228,               0.007228,               0.007228
