0.0,836847.251384,-5963481.64449,3719955.637341
1.0,835709.632432,-5967573.848536,3713663.175707
2.0,834570.425009,-5971659.244541,3707366.558337
3.0,833429.803441,-5975737.934511,3701065.834756
4.0,832287.534031,-5979809.502769,3694760.784702
5.0,831143.887175,-5983874.006165,3688451.422411
6.0,829998.659063,-5987932.046706,3682138.164108
7.0,828851.924002,-5991982.993423,3675820.610553
8.0,827703.698585,-5996027.327758,3669499.075149
9.0,826553.746991,-6000064.405026,3663173.188249
10.0,825402.406717,-6004095.006074,3656843.408437
11.0,824249.615412,-6008118.79256,3650509.54773
12.0,823095.363839,-6012135.774916,3644171.621664
13.0,821939.54674,-6016145.568963,3637829.411205
14.0,820782.047831,-6020148.322683,3631483.032296
15.0,819623.058172,-6024144.251814,3625132.608565
16.0,818462.633794,-6028133.17712,3618778.034301
17.0,817300.672624,-6032115.304424,3612419.453339
18.0,816137.282681,-6036090.381426,3606056.715797
19.0,814972.476562,-6040058.831042,3599690.08657
20.0,813806.257442,-6044020.331644,3593319.37736
21.0,812638.42787,-6047974.920605,3586944.643637
22.0,811469.101343,-6051922.550833,3580565.855291
23.0,810298.317674,-6055863.224128,3574183.018696
24.0,809128.267981,-6059789.210659,3567794.246535
25.0,807954.505477,-6063716.285678,3561403.322451
26.0,806779.212429,-6067636.087683,3555008.203312
27.0,805602.607809,-6071549.09328,3548609.15762
28.0,804424.501588,-6075455.128523,3542206.112813
29.0,803244.905861,-6079354.363297,3535799.179248
30.0,802063.931161,-6083246.583631,3529388.224569
31.0,800881.317443,-6087131.38755,3522973.052603
32.0,799697.240391,-6091009.130457,3516553.858938
33.0,798511.737705,-6094879.814393,3510130.660105
34.0,797324.845809,-6098744.282848,3503703.955728
35.0,796136.520566,-6102601.568182,3497273.190762
36.0,794946.61381,-6106451.660699,3490838.385775
37.0,793755.376354,-6110294.854684,3484399.695304
38.0,792562.584308,-6114131.329107,3477957.260534
39.0,791368.378761,-6117960.213105,3471510.565285
40.0,790172.762806,-6121781.951711,3465059.874875
41.0,788975.645214,-6125596.828221,3458605.384214
42.0,787777.161365,-6129404.920876,3452147.12723
43.0,786577.194972,-6133206.016396,3445685.007166
44.0,785375.773191,-6137000.020097,3439218.973476
45.0,784172.956277,-6140787.340014,3432749.266164
46.0,782968.766017,-6144567.358822,3426275.536148
47.0,781763.015551,-6148340.320553,3419797.951968
48.0,780559.578635,-6152105.729809,3413316.940114
49.0,779350.828562,-6155864.236178,3406831.48075
50.0,778140.886638,-6159615.926812,3400342.29731
51.0,776929.444648,-6163360.633386,3393849.338526
52.0,775716.662145,-6167098.405992,3387352.623711
53.0,774502.40372,-6170828.779256,3380851.916586
54.0,773286.781736,-6174552.010317,3374347.36048
55.0,772069.621748,-6178268.047586,3367838.951136
56.0,770851.17401,-6181977.502525,3361327.020959
57.0,769631.318704,-6185679.32187,3354811.000262
58.0,768410.021867,-6189374.391642,3348291.397517
59.0,767187.277541,-6193062.026677,3341767.843463
60.0,765963.263736,-6196742.671583,3335240.572686
61.0,764737.869142,-6200416.278144,3328709.582131
62.0,763511.021028,-6204082.675059,3322174.790795
63.0,762282.686559,-6207742.33015,3315636.478139
64.0,761053.120083,-6211394.95592,3309094.462707
65.0,759822.284436,-6215040.526647,3302548.746173
66.0,758589.926444,-6218678.706838,3295999.183001
67.0,757356.201473,-6222309.754045,3289445.905725
68.0,756121.123837,-6225933.546728,3282888.858083
69.0,754884.64591,-6229550.196912,3276328.111241
70.0,753646.863989,-6233159.763015,3269763.701675
71.0,752407.641743,-6236762.243513,3263195.653091
72.0,751167.13942,-6240357.515044,3256623.889082
73.0,749925.166364,-6243945.586028,3250048.44577
74.0,748681.885785,-6247526.579316,3243469.380184
75.0,747437.203689,-6251100.348717,3236886.635273
76.0,746191.285196,-6254667.335405,3230300.437334
77.0,744943.871438,-6258227.135869,3223710.608205
78.0,743695.033512,-6261779.359825,3217116.950244
79.0,742444.886041,-6265324.206967,3210519.561712
80.0,741193.495348,-6268862.300905,3203918.772074
81.0,739940.746582,-6272392.995395,3197314.266303
82.0,738686.797225,-6275916.455239,3190706.12206
83.0,737431.352579,-6279432.600665,3184094.340855
84.0,736174.648053,-6282941.908732,3177479.15176
85.0,734916.546783,-6286443.765507,3170860.26903
86.0,733657.093009,-6289938.819404,3164238.028224
87.0,732396.344477,-6293426.153239,3157611.958979
88.0,731134.234906,-6296906.253446,3150982.330268
89.0,729870.727293,-6300379.064669,3144349.128146
90.0,728606.043167,-6303844.872592,3137712.483202
91.0,727339.931603,-6307303.289462,3131072.235273
92.0,726072.575184,-6310754.945187,3124428.691958
93.0,724803.800211,-6314199.153939,3117781.54167
94.0,723533.824074,-6317635.972296,3111130.793161
95.0,722262.637672,-6321065.694322,3104476.604717
96.0,720990.027967,-6324488.058632,3097818.879953
97.0,719716.024775,-6327902.968978,3091157.577751
98.0,718440.76686,-6331311.089116,3084493.025513
99.0,717164.257456,-6334711.554848,3077824.793859
100.0,715886.522411,-6338104.866949,3071153.14731
101.0,714607.462873,-6341490.606967,3064477.894911
